qid,brand,entity,news_mom,news_yoy,status
Q658961,Piaget,Manufacturing company,0%,0%,ok
Q593680,Borsalino,Fashion company,0%,0%,ok
Q2736351,Agatha Ruiz de la Prada,Spanish fashion designer,0%,0%,ok
Q664543,Deichmann SE,Company,+2400%,>5000 (breakout),ok
Q1361595,Errea,Sports equipment company,0%,0%,ok
Q3322945,Stradivarius,Clothing retail company,+250%,>5000 (breakout),ok
Q83750,Desigual,Fashion company,0%,0%,ok
Q5213855,Jimmy Choo Ltd,Fashion house,0%,0%,ok
Q1400977,Missoni,Fashion company,0%,no-data,ok
Q2456630,Trussardi,Company,>5000 (breakout),>5000 (breakout),ok
Q2263500,Ellesse,Company,0%,0%,ok
Q429204,C.P. Company,Company,0%,0%,ok
Q60772401,COS,Topic,+1050%,>5000 (breakout),ok
Q6077665,Jack & Jones,Topic (wordmark),+550%,>5000 (breakout),ok
Q105476592,Tom Ford,Fashion brand,+950%,>5000 (breakout),ok
Q29109956,Vetements,Clothing brand,0%,no-data,ok
Q4115012,Giordano,Retail company,>5000 (breakout),>5000 (breakout),ok
Q1921997,Merrell,Company,0%,0%,ok
Q6981479,Nautica,Apparel,>5000 (breakout),>5000 (breakout),ok
Q3128675,Havaianas,Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q3645582,Brunello Cucinelli,Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q821969,Berluti,Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q5370765,J.Crew,Retail company,0%,>5000 (breakout),ok
Q4791147,Aritzia,Clothing retail company,+800%,>5000 (breakout),ok
Q883965,KiK,Discount store chain,>5000 (breakout),>5000 (breakout),ok
Q3192653,Kangol,Clothing company,0%,0%,ok
Q211951,ASOS,Retail company,+110%,+3400%,ok
Q3196299,Kiabi,Topic (wordmark),+450%,no-data,ok
Q571206,Tom Tailor,Company,0%,no-data,ok
Q28224724,Golden Goose,Fashion company,>5000 (breakout),no-data,ok
Q1360940,Orbea,Corporation,>5000 (breakout),no-data,ok
Q3197595,Kiton,Fashion company,0%,no-data,ok
Q1784995,Alfred Dunhill,Company,>5000 (breakout),no-data,ok
Q1568588,Juicy Couture,Clothing chain,0%,no-data,ok
Q1056200,Cerruti 1881,Fashion brand,0%,no-data,ok
Q1893576,Topshop,Retail company,0%,no-data,ok
Q121878733,Vuori,Clothing company,>5000 (breakout),no-data,ok
Q65090803,Fashion Nova,Retail company,+350%,no-data,ok
Q600986,Escada SE,Company,0%,no-data,ok
Q265056,s.Oliver,Company,>5000 (breakout),no-data,ok
Q305404,Intimissimi,Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q21809354,Reserved,Topic (wordmark),+550%,>5000 (breakout),ok
Q7131643,Pantaloons,Topic (wordmark),+130%,no-data,ok
Q924963,Charles Tyrwhitt,Company,>5000 (breakout),no-data,ok
Q835487,MCM Worldwide,Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q2749082,Lord & Taylor,Company,0%,no-data,ok
Q1281935,Ecko Unltd.,Topic (wordmark),0%,no-data,ok
Q125784200,Corteiz,Topic (brand),>5000 (breakout),no-data,ok
Q1439858,Nina Ricci,Fashion brand,no-data,no-data,ok
Q688195,Bally,Fashion house,no-data,no-data,ok
Q1422386,K-Swiss,Topic (wordmark),>5000 (breakout),no-data,ok
Q1355658,Karl Kani,Topic (wordmark),0%,0%,ok
Q2832297,ALDO,Retail company,>5000 (breakout),>5000 (breakout),ok
Q1484081,G-Star Raw,Company,>5000 (breakout),>5000 (breakout),ok
Q278948,Aquascutum,Clothing company,0%,0%,ok
Q2820820,K-way,Textile industry company,0%,0%,ok
Q2707765,Viktor & Rolf,Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q2672003,Celio,Clothing retail company,>5000 (breakout),>5000 (breakout),ok
Q25222241,'47,Brand,>5000 (breakout),>5000 (breakout),ok
Q7193265,Rocawear,Topic (wordmark),0%,0%,ok
Q4876226,Beams,Clothing company,0%,0%,ok
Q16992933,Fabletics,Sportswear company,0%,0%,ok
Q917561,Kitsuné,Topic (brand),>5000 (breakout),>5000 (breakout),ok
Q1320295,Marithé + François Girbaud,Fashion company,0%,0%,ok
Q1371677,Etro,Accessories retail company,>5000 (breakout),>5000 (breakout),ok
Q3073195,Furla,Company,0%,0%,ok
Q934096,Red Wing Shoes,Design company,>5000 (breakout),>5000 (breakout),ok
Q107835110,House of Schiaparelli,Fashion company,-100%,>5000 (breakout),ok
Q2988422,Canada Goose Inc.,Clothing company,>5000 (breakout),>5000 (breakout),ok
Q3274777,Evisu,Clothing company,0%,0%,ok
Q4728473,AllSaints,Fashion,>5000 (breakout),>5000 (breakout),ok
Q25047966,Golf Wang,Company,0%,0%,ok
Q22910099,OBEY Clothing,Clothing company,0%,0%,ok
Q4902942,Biba,Fashion company,0%,0%,ok
Q2456205,True Religion,Clothing company,0%,0%,ok
Q6276279,"Jordache Enterprises, Inc.",Clothing company,0%,0%,ok
Q17019662,Dr. Scholl's,Topic,>5000 (breakout),>5000 (breakout),ok
Q1030922,Camper,Shoe manufacturing company,0%,0%,ok
Q3269443,Lyle & Scott,Topic,>5000 (breakout),>5000 (breakout),ok
Q1417347,OshKosh B'Gosh,Company,>5000 (breakout),>5000 (breakout),ok
Q927272,NKD,Discount store chain,>5000 (breakout),>5000 (breakout),ok
Q3878818,Charles & Keith,Company,>5000 (breakout),>5000 (breakout),ok
Q25052459,Psycho Bunny,Topic,>5000 (breakout),>5000 (breakout),ok
Q576316,Cacharel,Topic,>5000 (breakout),>5000 (breakout),ok
Q7366633,Roots Canada,Retail company,>5000 (breakout),>5000 (breakout),ok
Q7156755,Payless ShoeSource,Shoes company,>5000 (breakout),>5000 (breakout),ok
Q457822,Fielmann,Eyewear company,>5000 (breakout),>5000 (breakout),ok
Q11188787,ABC-Mart,Retail company,+1150%,>5000 (breakout),ok
Q2670328,River Island,Retail company,>5000 (breakout),>5000 (breakout),ok
Q1837290,Mexx,Topic,0%,0%,ok
Q430230,Coleman Company,Manufacturing company,>5000 (breakout),>5000 (breakout),ok
Q39058850,Enfants Riches Déprimés,Fashion brand,>5000 (breakout),>5000 (breakout),ok
Q3212802,La Senza,Retail company,0%,0%,ok
Q50540636,Camp David,Fashion,0%,0%,ok
Q534235,Jockey International,Retail company,0%,0%,ok
Q1892752,Marc O'Polo,Topic,0%,0%,ok
Q96791543,Yeezy,Company,>5000 (breakout),>5000 (breakout),ok
Q2152193,Rieker Shoes,Footwear retail,0%,0%,ok
Q7909026,Vakko,Company,>5000 (breakout),>5000 (breakout),ok
Q2719846,Billionaire Boys Club,Clothing retailer,0%,0%,ok
Q2979949,Club Monaco,Clothing retail company,0%,0%,ok
Q1384784,Express,Retail company,>5000 (breakout),>5000 (breakout),ok
Q6792377,Maui Jim,Manufacturing company,0%,0%,ok
Q3073822,Superga,Topic,>5000 (breakout),>5000 (breakout),ok
Q4139985,Gloria Jeans,Clothing retail company,>5000 (breakout),>5000 (breakout),ok
Q113992257,Cotton On Group,Topic,+850%,>5000 (breakout),ok
Q17191383,Adastria,Retail company,>5000 (breakout),>5000 (breakout),ok
Q7121857,PacSun,Retail company,>5000 (breakout),>5000 (breakout),ok
Q4828498,Avia,Activewear company,>5000 (breakout),>5000 (breakout),ok
Q20716793,Pink,Victoria's Secret,>5000 (breakout),>5000 (breakout),ok
Q1427623,Haglöfs,Clothing company,0%,0%,ok
Q1629990,CoverGirl,Topic,>5000 (breakout),>5000 (breakout),ok
Q17141914,Scotch & Soda,Design company,0%,0%,ok
Q43082416,Aimé Leon Dore,Topic,>5000 (breakout),>5000 (breakout),ok
Q1902277,Marmot,Topic,>5000 (breakout),>5000 (breakout),ok
Q104846139,Savage X Fenty,Company,0%,0%,ok
Q10853153,United Arrows,Retail-store company,>5000 (breakout),>5000 (breakout),ok
Q950766,Safilo,Company,0%,0%,ok
Q5715308,Henri Bendel,Department store company,0%,0%,ok
Q2967663,Church's,Company,0%,0%,ok
Q30589369,LuLaRoe,Fashion company,0%,0%,ok
Q22921009,Pierre Cardin,Fashion company,>5000 (breakout),>5000 (breakout),ok
Q17149142,Suitsupply,Suit company,>5000 (breakout),>5000 (breakout),ok
Q4773903,Anthropologie,Retail company,>5000 (breakout),>5000 (breakout),ok
Q3650853,Marni,Fashion company,>5000 (breakout),>5000 (breakout),ok
Q651470,etnies,Footwear company,0%,0%,ok
Q3328552,Uterqüe,Topic,0%,0%,ok
Q5915543,House of Worth,Fashion company,0%,0%,ok
Q7107393,Osprey,Manufacturing company,>5000 (breakout),>5000 (breakout),ok
Q3317844,Modell's Sporting Goods,Online retail company,0%,0%,ok
Q2039867,Theory,Clothes company,0%,0%,ok
Q911217,Breuninger,Company,>5000 (breakout),>5000 (breakout),ok
Q1136426,Hackett London,Clothing company,0%,0%,ok
Q1703526,JOOP!,Cosmetics company,0%,0%,ok
Q1634723,Elan,Elan Skis - Topic,0%,0%,ok
Q42332202,Bombas,Bombas - Topic,0%,0%,ok
Q17080812,Members Only,Members Only - Fashion brand,0%,0%,ok
Q1089081,Fiorucci,Fiorucci - Topic (wordmark),0%,0%,ok
Q7932495,Vineyard Vines,Vineyard Vines - Company,>5000 (breakout),>5000 (breakout),ok
Q5203233,D-A-S-H,,no-data,no-data,no-data
Q24939079,Max Fashion,Max Fashion - Topic (wordmark),+300%,>5000 (breakout),ok
Q7408750,Samantha Thavasa,Samantha Thavasa - Topic,0%,0%,ok
Q18155981,Delvaux,Delvaux - Luxury goods company,0%,0%,ok
Q641722,John Lobb Bootmaker,John Lobb Bootmaker - Footwear company,0%,0%,ok
Q6925414,Mountain Warehouse,Mountain Warehouse - Retail,>5000 (breakout),>5000 (breakout),ok
Q1028975,Jacques Fath,Jacques Fath - French fashion designer,0%,0%,ok
Q4838385,Baby Phat,Baby Phat - Fashion brand,0%,0%,ok
Q2551058,DSQUARED2,Dsquared2 - Company,>5000 (breakout),>5000 (breakout),ok
Q546542,A.P.C.,A.P.C. - Fashion brand,>5000 (breakout),>5000 (breakout),ok
Q4682711,Adidas Originals,Adidas Originals - Product line,"+1,800%",>5000 (breakout),ok
Q23672312,Herschel Supply Co.,Herschel Supply Co. - Company,>5000 (breakout),>5000 (breakout),ok
Q3160437,Jaeger,Jaeger - Fashion company,0%,0%,ok
Q21463374,Nordstrom Rack,Nordstrom Rack - Department store chain,+750%,>5000 (breakout),ok
Q551889,Reusch,Reusch International - Sports equipment company,0%,0%,ok
Q19988222,Tory Burch LLC,Tory Burch - Fashion brand,>5000 (breakout),>5000 (breakout),ok
Q3835099,Liu·Jo,Liu Jo - Fashion company,>5000 (breakout),>5000 (breakout),ok
Q107410579,Sinsay,Sinsay - Topic (wordmark),+800%,>5000 (breakout),ok
Q7679064,Talbots,Talbots - Women's clothing store company,>5000 (breakout),>5000 (breakout),ok
Q1736294,Kathmandu,KMD Brands (Kathmandu) - Retail company,>5000 (breakout),>5000 (breakout),ok
Q958209,Springfield,Springfield - Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q6063877,Koton,Koton - Clothing company,>5000 (breakout),>5000 (breakout),ok
Q55641424,Peter Millar (clothing company),Peter Millar - Clothing company,0%,0%,ok
Q272361,Çalık Holding,Çalık Holding - Energy company,0%,0%,ok
Q3943471,Scarpa,Scarpa - Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q4048384,Rockport Company,Rockport - Company,>5000 (breakout),>5000 (breakout),ok
Q1798938,La Martina,La Martina - Clothing company,0%,0%,ok
Q54817659,PrettyLittleThing,PrettyLittleThing - Fashion company,+700%,>5000 (breakout),ok
Q3111039,MCS,MCS - Fashion brand,0%,0%,ok
Q18385610,Stitch Fix,Stitch Fix - Fashion company,0%,>5000 (breakout),ok
Q172227,Playlife,Playlife - Fashion company,0%,0%,ok
Q107394262,Ami Paris,AMI Paris - Fashion company,0%,0%,ok
Q54869493,Bimba y Lola,Bimba y Lola - Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q138318202,Syrn,,no-data,no-data,no-data
Q2896348,Blundstone Australia Pty Ltd,Blundstone - Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q6115814,Jack Wills,Jack Wills - Clothing company,0%,0%,ok
Q4112833,Caleres,Caleres - Footwear company,0%,0%,ok
Q8075252,Zumiez,Zumiez - Clothing accessories stores company,>5000 (breakout),>5000 (breakout),ok
Q6766373,Mark's,Mark's - Clothing retail company,>5000 (breakout),>5000 (breakout),ok
Q5476569,Fox-Wizel Ltd.,,no-data,no-data,no-data
Q6697865,Lucky Brand Jeans,Lucky Brand - Company,0%,0%,ok
Q873447,Gerry Weber,Gerry Weber - Company,0%,0%,ok
Q25351619,Aerie,Aerie - Clothing retailer,>5000 (breakout),>5000 (breakout),ok
Q5204244,DAKS,DAKS - Company,0%,0%,ok
Q4120731,Andrew Christian,Andrew Christian - Company,0%,0%,ok
Q184399,Zeeman,Zeeman - Store,>5000 (breakout),>5000 (breakout),ok
Q136311,Sunglass Hut,Sunglass Hut - Company,>5000 (breakout),>5000 (breakout),ok
Q6523209,LensCrafters,LensCrafters - Retail,>5000 (breakout),>5000 (breakout),ok
Q12391713,Lefties,Lefties - Company,>5000 (breakout),>5000 (breakout),ok
Q3504397,Avirex,Avirex - Clothing company,0%,0%,ok
Q3783405,Harmont & Blaine,Harmont & Blaine - Topic (wordmark),0%,0%,ok
Q9294202,House,,no-data,no-data,no-data
Q5000795,Burton,Burton - Retailer,0%,0%,ok
Q3475516,Schott NYC,Schott NYC - Clothing company,0%,0%,ok
Q6485350,Lane Bryant,Lane Bryant - Specialty retail company,0%,0%,ok
Q12061509,Matalan,Matalan - Clothing retail company,>5000 (breakout),>5000 (breakout),ok
Q101108013,George,,no-data,no-data,no-data
Q2076935,Munich,Munich - Topic (footwear),>5000 (breakout),>5000 (breakout),ok
Q3974532,Storm Management,Storm Management - Modeling agency company,>5000 (breakout),>5000 (breakout),ok
Q2567594,Wicked Weasel,Wicked Weasel - Topic (wordmark),0%,0%,ok
Q7444725,Sector No Limits,Sector No Limits - Company,0%,0%,ok
Q787601,Chevignon,Chevignon - Topic (bird logo),0%,0%,ok
Q5499945,Free People,Free People - Retail company,>5000 (breakout),>5000 (breakout),ok
Q3566715,Wati B,Wati B - Music company,0%,0%,ok
Q4970227,British Knights,British Knights - Topic (BK logo),0%,0%,ok
Q241295,Miss Sixty,Miss Sixty - Topic (wordmark),0%,0%,ok
Q1654538,Replay,Replay - Topic (wordmark),-70%,>5000 (breakout),ok
Q131721678,Christian Dior Couture,Dior - Fashion company,+150%,>5000 (breakout),ok
Q6106802,J. Press,J. Press - Company,0%,0%,ok
