qid,brand,description,sitelinks,en_title,n_wikipedias,review_flag,pv_median,trends_score,news_score,wiki_mom,wiki_yoy,wiki_latest,search_mom,search_yoy,news_mom,news_yoy,elig_pv,elig_trends,elig_news,trends_ratio,news_ratio,pv_ratio,sources,attention,breadth,raw,rank,interest_index,tier
Q611115,Swarovski,Austrian crystal and jewelry company,46.0,Swarovski,44,,45071.0,210.06,81.21,-22%,-23%,31446.0,+4%,+6%,+1550%,>5000 (breakout),True,True,True,0.3531960903372292,0.19699034849140856,0.6550681002581882,trends+news+pv,0.3667087697676748,0.7533509795490358,0.4247051012348789,35,43.3,B
Q827258,Bershka,Spanish clothing retailer,36.0,Bershka,35,,16431.0,261.72,227.07,+21%,-4%,16038.0,+1%,+10%,+100%,>5000 (breakout),True,True,True,0.39424179435058254,0.329397328976166,0.3955212776953909,trends+news+pv,0.37504435140721926,0.6664532525755065,0.4187556865824623,36,42.7,B
Q390107,Burberry,English fashion company,51.0,Burberry,48,,24730.0,228.12,113.54,+4%,-23%,18402.0,+2%,+9%,+650%,>5000 (breakout),True,True,True,0.3680661584674946,0.23292421376207262,0.48523253457807397,trends+news+pv,0.35095685027798385,0.7932380340395951,0.4172990278422255,37,42.6,B
Q174310,Nordstrom,American chain of luxury department stores,26.0,Nordstrom,25,,17033.0,250.97,,+6%,-12%,15839.0,-10%,-4%,+120%,+1650%,True,True,False,0.38606027199834597,0.0,0.40270166701641985,trends+pv,0.3908149562892243,0.5663763566299813,0.41714916634033783,38,42.6,B
Q25387414,Brandy Melville,Italian clothing brand,9.0,Brandy Melville,8,,18448.0,,,+15%,-14%,21100.0,+650%,+4400%,>5000 (breakout),>5000 (breakout),True,False,False,0.0,0.0,0.4190950189593394,pv,0.4190950189593394,0.33322662628775324,0.4062147600586015,39,41.4,B
Q214480,Dolce & Gabbana,Italian fashion house,53.0,Dolce & Gabbana,49,,32739.0,148.8,117.74,+25%,+1%,38029.0,-4%,-10%,+200%,>5000 (breakout),True,True,True,0.29726629656545644,0.23719318620474245,0.5583037683097047,trends+news+pv,0.3314518578060919,0.8086421524696853,0.40303040200563084,40,41.1,B
Q2842931,American Eagle Outfitters,"American clothing, shoes, and accessories retailer",20.0,American Eagle Outfitters,18,,19868.0,166.4,450.2,-6%,-77%,11769.0,+3%,-50%,0%,0%,True,True,True,0.3143553586680594,0.46381302293368754,0.4349255585311813,trends+news+pv,0.3833066979203722,0.49674492552822314,0.4003224320615498,41,40.8,B
Q6108019,JD Sports,sports-fashion retail company,11.0,JD Sports,10,,14866.0,272.0,352.96,+8%,-20%,14348.0,+1%,+7%,+150%,+3600%,True,True,True,0.4019098583274843,0.4106794187087718,0.37621397018041114,trends+news+pv,0.39940154881245593,0.3683958965174856,0.3947507009682104,42,40.3,B
Q552230,Miu Miu,Italian fashion house,25.0,Miu Miu,24,,21630.0,156.57,,+7%,-12%,18814.0,-4%,-20%,>5000 (breakout),>5000 (breakout),True,True,False,0.30492882675447175,0.0,0.4538016952389222,trends+pv,0.3474639320357434,0.5553777104795887,0.37865099880232017,43,38.6,B
Q6702957,Lululemon,Canadian athletic apparel retailer,16.0,Lululemon,16,,54505.0,91.89,227.07,+20%,-17%,55738.0,-10%,-20%,+400%,+800%,True,True,True,0.23360295531872757,0.329397328976166,0.7203706767124566,trends+news+pv,0.35969481169470496,0.444302168383671,0.3723859151980498,44,38.0,B
Q2470307,Guess,American clothing line brand,33.0,Guess (company),32,,14552.0,221.26,105.39,+4%,-14%,13153.0,0%,+120%,+500%,>5000 (breakout),True,True,True,0.362489691849879,0.2244088062538883,0.37221956498691566,trends+news+pv,0.3230114007984891,0.6380804100681715,0.3702717521889414,45,37.8,B
Q1439645,Macron,Italian sportswear company,27.0,Macron (sportswear),26,,11694.0,,,+17%,-11%,12802.0,-4%,+30%,+100%,>5000 (breakout),True,False,False,0.0,0.0,0.33367171916500127,pv,0.33367171916500127,0.5771654471651555,0.3701957783650244,46,37.8,B
Q735873,Kappa,Italian sportswear brand,45.0,Kappa (brand),44,,17090.0,109.26,,-35%,+8%,19059.0,-10%,-20%,>5000 (breakout),>5000 (breakout),True,True,False,0.2547268969273949,0.0,0.40337491375843515,trends+pv,0.29719775887912075,0.7451173882923346,0.3643857032911028,47,37.2,B
Q2003244,Thor Steinar,German clothing brand,15.0,Thor Steinar,14,,12905.0,,,+11%,+0%,12735.0,+20%,+30%,0%,0%,True,False,False,0.0,0.0,0.35052327331336086,pv,0.3505232733133608,0.43019372470845035,0.36247384102262425,48,37.0,B
Q463378,American Apparel,company,19.0,American Apparel,17,,12165.0,,,-2%,-97%,10260.0,-10%,-50%,0%,0%,True,False,False,0.0,0.0,0.3403250451705182,pv,0.3403250451705182,0.48416706309510354,0.361901347859206,49,36.9,B
Q319344,Abercrombie & Fitch,American fashion retailer,31.0,Abercrombie & Fitch,30,,27679.0,137.6,109.59,+7%,-37%,24874.0,+20%,+20%,+1450%,+1450%,True,True,True,0.28586002274859257,0.22883668969283114,0.5133493920543406,trends+news+pv,0.31425089669301376,0.6184424448636767,0.3598796289186132,50,36.7,B
